pCONS,biorep,sample,normalized_freq,log_freq,plant,fluor,tech,ensemb_lab
pCL5,Rep4,TG,0.08937924422505249,-3.483916344162172,Tobacco,GFP,Tech1,pCL1-5
pCL5,Rep4,TG2,0.08176915170226338,-3.6122995162904186,Tobacco,GFP,Tech2,pCL1-5
pCL5,Rep5,TG,0.07141281501867011,-3.807673200885392,Tobacco,GFP,Tech1,pCL1-5
pCL5,Rep5,TG2,0.08081120928426853,-3.629300767376884,Tobacco,GFP,Tech2,pCL1-5
pCL5,Rep6,TG,0.12473884805169597,-3.003017253911473,Tobacco,GFP,Tech1,pCL1-5
pCL5,Rep6,TG2,0.11660469409952087,-3.1003022272941787,Tobacco,GFP,Tech2,pCL1-5
pCM1,Rep1,TG,0.28676240878661236,-1.8020721789773042,Tobacco,GFP,Tech1,pCM1-5
pCM1,Rep1,TG2,0.2631446148074111,-1.9260722241689274,Tobacco,GFP,Tech2,pCM1-5
pCM1,Rep2,TG,0.30862943507338003,-1.6960524315228775,Tobacco,GFP,Tech1,pCM1-5
pCM1,Rep2,TG2,0.2988665355228237,-1.7424267292801896,Tobacco,GFP,Tech2,pCM1-5
pCM1,Rep3,TG,0.31838266623746286,-1.651166301763273,Tobacco,GFP,Tech1,pCM1-5
pCM1,Rep3,TG2,0.2875933844617901,-1.7978976051808766,Tobacco,GFP,Tech2,pCM1-5
pCM1,Rep4,TG,0.2573659692607989,-1.9581067920064787,Tobacco,GFP,Tech1,pCM1-5
pCM1,Rep4,TG2,0.24607860632481787,-2.022808857207948,Tobacco,GFP,Tech2,pCM1-5
pCM1,Rep5,TG,0.2906155756052301,-1.7828160682887741,Tobacco,GFP,Tech1,pCM1-5
pCM1,Rep5,TG2,0.2822601498648472,-1.8249026347167248,Tobacco,GFP,Tech2,pCM1-5
pCM1,Rep6,TG,0.3177244534598994,-1.6541519644592297,Tobacco,GFP,Tech1,pCM1-5
pCM1,Rep6,TG2,0.29694051545586414,-1.7517541424875913,Tobacco,GFP,Tech2,pCM1-5
pCM2,Rep1,TG,0.23342028706045553,-2.098998140656145,Tobacco,GFP,Tech1,pCM1-5
pCM2,Rep1,TG2,0.16575525999630675,-2.5928734420446453,Tobacco,GFP,Tech2,pCM1-5
pCM2,Rep2,TG,0.3562262529152583,-1.489134251791523,Tobacco,GFP,Tech1,pCM1-5
pCM2,Rep2,TG2,0.2951714482480253,-1.7603749177408525,Tobacco,GFP,Tech2,pCM1-5
pCM2,Rep3,TG,0.29532432769800815,-1.7596278897746704,Tobacco,GFP,Tech1,pCM1-5
pCM2,Rep3,TG2,0.19549641207952576,-2.3547859647080585,Tobacco,GFP,Tech2,pCM1-5
pCM2,Rep4,TG,0.24611983514161578,-2.0225671635955185,Tobacco,GFP,Tech1,pCM1-5
pCM2,Rep4,TG2,0.22832468725180174,-2.130841237732955,Tobacco,GFP,Tech2,pCM1-5
pCM2,Rep5,TG,0.33484145012519867,-1.5784499642852696,Tobacco,GFP,Tech1,pCM1-5
pCM2,Rep5,TG2,0.1925671657798671,-2.3765663616166184,Tobacco,GFP,Tech2,pCM1-5
pCM2,Rep6,TG,0.35974897572403763,-1.474937515551963,Tobacco,GFP,Tech1,pCM1-5
pCM2,Rep6,TG2,0.22258319876340893,-2.1675833969761586,Tobacco,GFP,Tech2,pCM1-5
pCM3,Rep1,TG,0.22702094123947125,-2.1391027117814447,Tobacco,GFP,Tech1,pCM1-5
pCM3,Rep1,TG2,0.23840299328236245,-2.068525745133805,Tobacco,GFP,Tech2,pCM1-5
pCM3,Rep2,TG,0.22425031006606264,-2.1568181149581584,Tobacco,GFP,Tech1,pCM1-5
pCM3,Rep2,TG2,0.2599899746270379,-1.9434721017671468,Tobacco,GFP,Tech2,pCM1-5
pCM3,Rep3,TG,0.23862136680578744,-2.067204863234793,Tobacco,GFP,Tech1,pCM1-5
pCM3,Rep3,TG2,0.27617355740799987,-1.8563529013688125,Tobacco,GFP,Tech2,pCM1-5
pCM3,Rep4,TG,0.24591927039659925,-2.0237433049866453,Tobacco,GFP,Tech1,pCM1-5
pCM3,Rep4,TG2,0.24887836294924118,-2.006487284506974,Tobacco,GFP,Tech2,pCM1-5
pCM3,Rep5,TG,0.3300631698620862,-1.5991859306429743,Tobacco,GFP,Tech1,pCM1-5
pCM3,Rep5,TG2,0.31097116975572436,-1.6851472610859757,Tobacco,GFP,Tech2,pCM1-5
pCM3,Rep6,TG,0.2657118371169079,-1.9120655954388115,Tobacco,GFP,Tech1,pCM1-5
pCM3,Rep6,TG2,0.2983810805307647,-1.7447720334556476,Tobacco,GFP,Tech2,pCM1-5
pCM4,Rep1,TG,0.4406949866368136,-1.1821476103331594,Tobacco,GFP,Tech1,pCM1-5
pCM4,Rep1,TG2,0.2558208726217585,-1.9667941152674857,Tobacco,GFP,Tech2,pCM1-5
pCM4,Rep2,TG,0.41244701026848457,-1.2777193159738802,Tobacco,GFP,Tech1,pCM1-5
pCM4,Rep2,TG2,0.2763869856812129,-1.8552384101858514,Tobacco,GFP,Tech2,pCM1-5
pCM4,Rep3,TG,0.7882795554835047,-0.3432207370512333,Tobacco,GFP,Tech1,pCM1-5
pCM4,Rep3,TG2,0.4015646043852376,-1.3162959852808676,Tobacco,GFP,Tech2,pCM1-5
pCM4,Rep4,TG,0.27616293643090467,-1.8564083850500737,Tobacco,GFP,Tech1,pCM1-5
pCM4,Rep4,TG2,0.23715102773265037,-2.076121974302158,Tobacco,GFP,Tech2,pCM1-5
pCM4,Rep5,TG,0.3540636984768582,-1.497919160540423,Tobacco,GFP,Tech1,pCM1-5
pCM4,Rep5,TG2,0.2731940139177542,-1.8720022224811173,Tobacco,GFP,Tech2,pCM1-5
pCM4,Rep6,TG,0.6117836300802125,-0.7089065906686904,Tobacco,GFP,Tech1,pCM1-5
pCM4,Rep6,TG2,0.37283291284314835,-1.423398871430374,Tobacco,GFP,Tech2,pCM1-5
pCM5,Rep1,TG,0.12093198964351595,-3.0477321696103767,Tobacco,GFP,Tech1,pCM1-5
pCM5,Rep1,TG2,0.10005111704961238,-3.3211908201680482,Tobacco,GFP,Tech2,pCM1-5
pCM5,Rep2,TG,0.11208498757630694,-3.157335035295186,Tobacco,GFP,Tech1,pCM1-5
pCM5,Rep2,TG2,0.05814015216071619,-4.104321342565738,Tobacco,GFP,Tech2,pCM1-5
pCM5,Rep3,TG,0.1728656308920561,-2.532277033717567,Tobacco,GFP,Tech1,pCM1-5
pCM5,Rep3,TG2,0.0884627915791796,-3.498785420363247,Tobacco,GFP,Tech2,pCM1-5
pCM5,Rep4,TG,0.14721376347558834,-2.7640155351111546,Tobacco,GFP,Tech1,pCM1-5
pCM5,Rep4,TG2,0.07963718771081137,-3.6504139148150534,Tobacco,GFP,Tech2,pCM1-5
pCM5,Rep5,TG,0.11203537766700442,-3.157973727555222,Tobacco,GFP,Tech1,pCM1-5
pCM5,Rep5,TG2,0.11125722881467386,-3.168029018257598,Tobacco,GFP,Tech2,pCM1-5
pCM5,Rep6,TG,0.1687332588788695,-2.5671837247567773,Tobacco,GFP,Tech1,pCM1-5
pCM5,Rep6,TG2,0.14565335210110195,-2.7793891904981036,Tobacco,GFP,Tech2,pCM1-5
35s,Rep1,TR,2.957453530328363,1.5643555000641263,Tobacco,DSRed,Tech1,35s
35s,Rep1,TR2,2.8764838048316004,1.5243063475887741,Tobacco,DSRed,Tech2,35s
35s,Rep2,TR,3.038258884009286,1.6032448042585978,Tobacco,DSRed,Tech1,35s
35s,Rep2,TR2,2.9228674197200455,1.5473843904678173,Tobacco,DSRed,Tech2,35s
35s,Rep3,TR,2.916688385583185,1.5443312591917504,Tobacco,DSRed,Tech1,35s
35s,Rep3,TR2,2.90103616059023,1.5365682784311412,Tobacco,DSRed,Tech2,35s
35s,Rep4,TR,3.193027400785227,1.6749249333675575,Tobacco,DSRed,Tech1,35s
35s,Rep4,TR2,3.0446406123759275,1.6062719432899852,Tobacco,DSRed,Tech2,35s
35s,Rep5,TR,2.610640877518685,1.3844040126654198,Tobacco,DSRed,Tech1,35s
35s,Rep5,TR2,2.604542580703799,1.3810300233693025,Tobacco,DSRed,Tech2,35s
35s,Rep6,TR,2.628480727748219,1.3942291569816925,Tobacco,DSRed,Tech1,35s
35s,Rep6,TR2,2.608875198518778,1.3834279312061324,Tobacco,DSRed,Tech2,35s
PNOS,Rep1,TR,0.22861645793719146,-2.1289988290003268,Tobacco,DSRed,Tech1,PNOS
