pCONS_label,replicate,GFP,mScarlet,log_GFP,log_mScarlet
pCL2,3,33095,4156,4.519762385424222,3.61867553888514
pCH5,1,903168,188993,5.955768541771632,5.276445718894555
pCH5,2,917603,161021,5.962654824772588,5.20688251944413
pCH5,3,382423,74260,5.582544004087068,4.87075494489014
pCL2,2,31620,4262,4.49996186559619,3.629613445378183
pCL2,3,27200,3229,4.434568904034199,3.5090680450171616
pCH5,2,418357,75670,5.621547040050403,4.878923733967567
pCL2,1,108520,19788,5.035509785089559,4.296401901692144
pCL2,2,36447,5041,4.561661786781147,3.7025166974381514
pCL2,3,28720,3536,4.458184435570263,3.548512256341036
pCH5,1,868703,197950,5.938871321318668,5.296555506088224
pCH5,2,314070,44883,5.497026454524277,4.652081877657688
pCL2,1,55603,9269,4.745098224105389,3.967032882158702
pCL2,3,27992,3188,4.44703392947485,3.5035183127240748
pCH5,2,298698,38950,5.475232314696958,4.590507462008583
pCH5,3,599301,100324,5.777645002365465,5.0014048395083295
pCL2,1,60693,11312,4.7831386048037805,4.053539396452824
pCL2,2,32258,4000,4.508637437575895,3.6020599913279625
pCH5,1,572854,128446,5.758043949936397,5.10872058423509
pCH5,2,377842,53261,5.57731023139001,4.726409316259979
pCH5,3,724840,150044,5.86024215169406,5.176218633423045
pCL2,2,29337,3773,4.467415700848101,3.576686805200996
pCL2,3,30990,3945,4.491221576239283,3.596047007545439
pCH5,1,866276,204065,5.937656282525579,5.309768523528787
pCH5,2,525717,81361,5.720752020934765,4.910416277817994
pCH5,3,783721,179277,5.89416148395298,5.253524576155592
pCL2,1,23661,2967,4.374033095545688,3.472317546316842
pCH5,1,739802,146710,5.869115501063979,5.166459717093484
pCH5,3,428768,79423,5.632222365439361,4.899946287397203
pCL2,1,22956,3164,4.360896216074921,3.500236474825639
pCL2,2,44374,6377,4.647128579034972,3.804616416987255
pCL2,3,22932,2800,4.360441933102638,3.4471580313422194
pCH3,1,468323,32179,5.670545487117545,4.507572543764566
pCL1,1,9722,762,3.9877556167385233,2.8819549713396007
pCL1,2,20981,1653,4.321826183768503,3.2182728535714475
pCL1,3,20719,1518,4.316368790408991,3.1812717715594614
pCH3,2,437751,31250,5.641227146860534,4.494850021680094
pCL4,1,24627,4449,4.391411510385612,3.648262405748045
pCL4,2,43067,7050,4.634144620338793,3.848189116991399
pCL4,3,52013,8281,4.716111903685834,3.9180827846421873
