pCONS_label,rep,GFP,log_GFP
pCH2,3,183176,5.2628685711311824
pNOS,2,156761,5.19523802523919
35s,1,286308,5.456833483220043
35s,2,454366,5.657405825861329
35s,3,367529,5.565291612925177
pCH2,1,285156,5.455082514057112
pCH2,2,421043,5.624326451439214
pNOS,2,166554,5.22155506727077
pNOS,3,82157,4.914644572419394
35s,1,210219,5.32267196584183
pNOS,1,156111,5.193433505695271
pCH2,2,469009,5.671181176644368
pCH2,3,187758,5.273598450506227
pNOS,3,123986,5.093372649146064
35s,1,276150,5.441145047559696
35s,2,455447,5.658437845750819
35s,3,299737,5.476740356238954
pCH4,1,433450,5.636939007287472
pCH5,1,682326,5.8339919203659285
pCH5,2,886085,5.947475384709082
pCH4,2,664020,5.82218116033011
pCH4,3,392597,5.593946976648542
pCM5,1,91720,4.962464046057901
pCM5,2,192513,5.284460061832234
pCM5,3,182362,5.260934346549232
pCM2,1,60094,4.77883111265213
pCM2,2,80732,4.907045711534635
pCM2,3,55654,4.745496383684174
pCH4,1,469140,5.671302463513509
pCH5,1,723566,5.8594781513894025
pCH5,3,631909,5.800654540871983
pCH4,2,816409,5.911907783683416
pCH4,3,335601,5.525823246238411
pCM5,1,97500,4.989004615698537
pCM5,3,271173,5.433246445760094
pCM2,3,50395,4.702387449538213
pCH4,1,429762,5.63322801208631
pCH5,1,692796,5.840605371528137
pCH5,2,1006597,6.002855631718395
pCH5,3,671079,5.826773648700338
pCH4,2,526745,5.721600421863972
pCH4,3,391910,5.5931863451045665
pCM5,1,173928,5.240369503029885
pCM5,2,266674,5.425980675206319
pCM5,3,244059,5.387494827474072
pCM2,1,102473,5.0106094507998105
pCM2,3,57598,4.760407403491896
pCH4,1,570056,5.755917521104727
pCH5,1,927425,5.96727879871496
pCH5,2,1029975,6.012826683449042
pCH5,3,550079,5.740425065494748
pCM5,1,83728,4.92287071739559
pCM5,2,294655,5.4693138150357345
pCM2,1,65139,4.813841087084005
pCM2,2,102040,5.008770449937752
pCH4,1,410123,5.612914125524963
pCH5,1,729700,5.863144346252668
pCH5,2,841530,5.925069602905093
pCH5,3,587161,5.768757201459637
pCH4,2,544668,5.736131860619819
pCH4,3,301374,5.479105782339629
pCM5,3,175873,5.245199171742574
pCM2,1,63667,4.803914386315212
pCM2,2,114997,5.060686510784567
pCH4,1,612935,5.7874144212752165
pCH5,2,1123943,6.050744286844102
pCH5,3,650021,5.812927387468697
pCH4,2,666914,5.8240698343161315
pCH4,3,296997,5.472752062482108
pCM5,1,119771,5.078351675610871
pCM5,2,238016,5.37660615234286
pCM2,2,74601,4.872744649075499
pCM2,3,88337,4.94614264616112
pCH5,1,895668,5.952147058225093
pCH5,2,833663,5.920990526874972
pCH4,2,525793,5.720814799949101
pCM5,1,151958,5.1817235689398045
pCM5,2,225179,5.35252788613767
pCM5,3,161389,5.207873930620862
pCM2,1,68916,4.838320062328791
pCM2,2,75847,4.879938407677633
pCM2,3,59345,4.773384134177155
pCH5,3,770859,5.8869749472831385
pCH4,3,327068,5.514638055273702
pCM5,2,236136,5.373162202282052
pCM5,3,305726,5.485332374206544
pCM2,1,53837,4.73108085136923
pCM2,2,89002,4.949399765961817
pCM2,3,50735,4.70530766471057
pCM3,1,138371,5.14104507957396
pCM3,2,164433,5.215988980355449
pCM3,3,148628,5.172100633785177
pCM3,1,105408,5.022873573153642
pCM3,2,165727,5.219393268804202
pCM3,3,130415,5.115327545710152
pCM4,1,148024,5.1703321358175485
pCM4,2,157440,5.197115081087266
pCM3,1,136619,5.1355111021371895
pCM4,1,271931,5.434458719766664
pCM4,2,201208,5.30364524421085
pCM4,3,198882,5.298595478677881
pCM3,1,103519,5.015020068033092
pCM3,3,110254,5.042394354569944
pCM4,1,158390,5.1997277588070565
pCM4,2,296402,5.4718811297594945
pCM4,3,108816,5.036692757502105
pCM3,2,210428,5.323103527479911
pCM3,3,67485,4.829207252221248
pCM4,1,154989,5.190300876177879
pCM4,2,279319,5.446100478538464
pCM4,3,102232,5.009586857130916
pCM3,2,183996,5.264808381722524
pCM3,3,110449,5.043161788143642
pCM4,2,182728,5.261805100794075
pCM4,3,144181,5.1589080333457895
pCM3,1,141983,5.152236348269196
pCM3,2,149769,5.175421930037823
pCM4,1,199749,5.30048461379044
pCM4,2,197897,5.29643921061205
pCM4,3,130777,5.1165313705065625
pCM3,1,112493,5.051125498838875
pCM3,2,264378,5.42222531285549
pCM3,3,83706,4.922756589098388
pCM4,1,130592,5.115916573093177
pCM4,3,116664,5.066936862786148
pCL4,1,42954,4.6330036128014775
pCM1,1,54498,4.736380564572026
pCM1,2,98075,4.991558316801574
pCM1,3,88244,4.945685185952475
pCL4,2,45744,4.660334138013914
pCL4,3,43129,4.634769388600005
pCL4,1,31007,4.491459749259829
pCM1,1,52964,4.723980776891
pCM1,2,64981,4.812786390467569
pCM1,3,91545,4.961634629012274
pCL4,2,45286,4.655963962223128
pCL4,3,35155,4.545987102271373
pCL4,1,34662,4.539853617925056
pCM1,1,73419,4.865808464920903
pCM1,2,79314,4.899349852968333
pCL4,2,62057,4.792790776808288
pCL4,3,37956,4.579280437963348
pCL4,1,37895,4.578581911401869
pCM1,1,49923,4.69830067531816
pCM1,2,78356,4.894072257564308
pCL4,2,31798,4.502399805007103
pCL4,3,36389,4.5609701209764735
pCM1,2,64793,4.811528088809081
pCM1,3,107618,5.031884916747505
pCL4,3,53172,4.725682996079237
