pCONS_label,replicate,GFP,mScarlet,log_GFP,log_mScarlet,exp
pCL2,3,39677,119547,4.598538827476588,5.077538682084639,hi
pCM5,2,257535,185408,5.410836259683733,5.268128469187649,hi
pCM5,3,169273,151840,5.228587691209116,5.181386195083218,hi
pCM2,3,208005,196247,5.318073774608485,5.292803026470008,hi
pCH5,1,452354,54089,5.655478434976021,4.733108952259285,hi
pCH5,3,652595,105386,5.814643742021994,5.022782920870972,hi
pCM5,1,166460,179938,5.221309890296929,5.255122889013067,hi
pCM2,1,126141,116297,5.100856269599749,5.065568511802824,hi
pCH5,1,204061,24586,5.3097600105797085,4.390687877285511,hi
pCH5,2,693272,102923,5.840903660185711,5.012512436540032,hi
pCH5,3,615749,100508,5.789403715200812,5.00220063108566,hi
pCM5,1,126498,138797,5.102083659141638,5.142380079249052,hi
pCL2,1,17623,49412,4.246079841223767,4.693832432747645,hi
pCL2,2,46934,63672,4.671487568998327,4.803948491693936,hi
pCM5,3,107252,93623,5.030405399512848,4.971382553289725,hi
pCM2,2,136034,120057,5.133647468421252,5.079387486948192,hi
pCM2,3,184883,188580,5.266896979598243,5.275495631401224,hi
pCH5,1,460862,65043,5.663570900203774,4.813200564157331,hi
pCH5,2,677874,94994,5.831148976772588,4.977696175297456,hi
pCH5,3,726004,119009,5.860939013500564,5.075579805951677,hi
pCM5,1,46810,36888,4.670338641127442,4.566885109211351,hi
pCL2,1,22313,74260,4.3485579654364575,4.87075494489014,hi
pCL2,3,37940,129486,4.579097326552644,5.112222815124409,hi
pCM5,2,233633,169028,5.368534185639411,5.227958652768981,hi
pCM5,3,136325,128548,5.134575506358859,5.10906532410824,hi
pCM2,1,101524,82336,5.006568720431262,4.915589764530252,hi
pCM2,2,133535,135049,5.125595110754266,5.13049137270644,hi
pCH5,1,304623,44496,5.483762690845008,4.648320971520084,hi
pCL2,1,12882,29806,4.109983294819893,4.474303697116561,hi
pCL2,2,67520,103051,4.829432433617598,5.013052210500236,hi
pCL2,3,46715,137063,4.669456353183669,5.136920233312304,hi
pCM5,2,169410,168113,5.228939042456542,5.225601298269727,hi
pCM2,1,199383,181872,5.299688126287913,5.25976584265058,hi
pCM2,2,135431,144864,5.131718085235197,5.160960472815158,hi
pCM2,3,182233,192309,5.260627024778481,5.283999609557637,hi
pCH5,1,525798,82006,5.720818929829272,4.913845628866194,hi
pCH5,2,1098922,188310,6.040966867881398,5.274873383370373,hi
pCH5,3,748721,132314,5.874320014317058,5.121605798844112,hi
pCL4,1,35631,144719,4.55182801119153,5.160525552912134,hi
pCL4,3,46220,155017,4.664829941143091,5.190379327856404,hi
pCL4,1,39836,152188,4.600275723698921,5.182380409732572,hi
pCL4,2,21796,75011,4.338376799232071,4.875124955245091,hi
pCL4,1,36578,148213,4.563219955576987,5.170886297979714,hi
pCL4,3,31064,117238,4.492257377537992,5.069068401063118,hi
pCL4,1,49702,221998,4.69637386502081,5.346349061870114,hi
pCL4,2,28518,94911,4.455119064678402,4.977316549228704,hi
pCL4,3,46619,177723,4.668562953458694,5.249743635608948,hi
pCL4,1,43912,172893,4.642583217773558,5.23777741014544,hi
pCL4,2,30269,104095,4.4809980733630566,5.01742986952437,hi
pCL4,3,43357,170086,4.637059224440851,5.230668567739722,hi
pCL4,2,23118,83156,4.363950259396645,4.919893590571551,hi
pCL4,3,33970,144915,4.531095546870028,5.161113341165216,hi
pCL4,2,25083,86211,4.399379478152629,4.935562682698432,hi
pCL4,3,23433,68317,4.369827892525328,4.834528786954192,hi
pCL4,1,40358,150841,4.605929635996846,5.178519402897215,hi
pCL4,2,30087,106445,4.478378886031893,5.027125266305966,hi
pCL5,1,49478,47308,4.694412136257839,4.674934588138951,hi
pCL5,2,47527,38325,4.676940401617183,4.583482163526413,hi
pCL5,3,151498,167300,5.180406899539993,5.223495940962395,hi
pCH1,3,549695,221675,5.740121786661409,5.345716717136776,hi
pCH1,1,354631,116256,5.549776696692094,5.065415376182621,hi
pCL5,2,110484,120693,5.04329938919911,5.081682082445892,hi
pCL5,3,119293,112173,5.076614960430061,5.049888334976165,hi
pCH1,2,387593,156242,5.588375925012306,5.193797789569381,hi
pCH1,3,547711,240238,5.738551463206179,5.3806417036706975,hi
pCH1,1,452016,167321,5.655153807795292,5.223550451493006,hi
pCL5,2,59818,42465,4.776831888409706,4.628031128420784,hi
pCL5,3,134799,139814,5.129686670418197,5.145550660811136,hi
pCH1,3,411697,137210,5.614577702343144,5.13738576433397,hi
pCH1,1,424741,150794,5.628124185206185,5.178384061568691,hi
pCL5,1,92542,138524,4.966338881154562,5.141525023686303,hi
pCL5,2,21705,11644,4.336559790174719,4.066102196766773,hi
pCL5,3,104484,101794,5.019049790507134,5.007722180322103,hi
